team,name,caps,position,years_since_debut,debut,age,approx_age_debuted,height_cm,weight_kg
Italy,Sergio Parisse,114,Back Row,13.5,8-Jun-02,32,19,196,112
Canada,Phil Mackenzie,29,Wing,7.1,1-Nov-08,28,21,185,96
Canada,Andrew Tiedemann,38,Prop,6.5,30-May-09,27,21,183,115
Fiji,Josh Matavesi,16,Fly Half,6,14-Nov-09,25,19,184,93
Fiji,Apisalome Ratuniyarawa,18,Lock,3,10-Nov-12,29,26,198,114
Wales,Matthew Morgan,5,Full Back,1.5,14-Jun-14,23,22,173,77
Ireland,Darren Cave,11,Centre,6.5,23-May-09,28,22,183,93
Scotland,Sean Lamont,101,Wing,11.5,4-Jun-04,34,23,188,105
Samoa,Johnny Leota,20,Centre,4.4,9-Jul-11,31,27,183,93
France,Rabah Slimani,21,Prop,2,9-Nov-13,26,24,178,112
Uruguay,Santiago Gibernau,35,Utility Back,6.6,25-Apr-09,27,20,183,85
Tonga,Nili Latu,43,Back Row,9.5,4-Jun-06,33,24,180,101
Wales,Eli Walker,1,Wing,0.3,8-Aug-15,23,23,184,91
Namibia,Louis van der Westhuizen,6,Hooker,2,8-Nov-13,20,18,178,93
Romania,Valentin Calafeteanu,77,Scrum Half,11,20-Nov-04,30,19,182,82
Uruguay,Nicolas Klappenbach,48,Hooker,10,12-Nov-05,33,23,178,98
Scotland,Fraser Brown,15,Hooker,2.4,22-Jun-13,26,24,183,103
South Africa,Tendai Mtawarira,75,Prop,7.5,14-Jun-08,30,23,183,116
England,Mike Brown,43,Full Back,8.5,26-May-07,30,22,183,92
Japan,Hendrik Tui,36,Back Row,3.5,10-Jun-12,27,24,189,107
New Zealand,Ben Franks,47,Prop,5.5,12-Jun-10,31,26,183,117
Scotland,Tim Visser,23,Wing,3.4,16-Jun-12,28,25,196,109
Uruguay,Diego Magno,51,Back Row,7.4,20-Jun-08,26,19,188,105
Australia,Sam Carter,12,Lock,1.5,7-Jun-14,26,25,200,116
England,Nick Easter,54,Back Row,8.8,10-Feb-07,37,28,192,114
New Zealand,Brodie Retallick,47,Lock,3.5,9-Jun-12,24,21,204,120
Namibia,Wian Conradie,3,Back Row,0.3,8-Aug-15,21,21,185,105
Samoa,Mike Stanley,8,Fly Half,1,8-Nov-14,25,24,183,88
Canada,Djustice Sears-Duru,12,Prop,2,23-Nov-13,21,19,185,118
Uruguay,Alejo Duran,35,Scrum Half,3.5,8-Jun-12,24,21,171,79
Wales,Bradley Davies,49,Lock,6.8,8-Feb-09,28,21,198,122
Uruguay,Santiago Vilaseca,37,Lock,7.5,31-May-08,31,24,187,106
USA,Andrew Suniula,38,Centre,7,16-Nov-08,33,26,189,105
Italy,Mauro Bergamasco,106,Back Row,17,18-Nov-98,36,19,185,104
Samoa,Sanele Vavae Tuilagi,7,Back Row,0.4,18-Jul-15,27,27,190,108
Scotland,Jonny Gray,19,Lock,2,17-Nov-13,21,19,198,119
Fiji,Talemaitoga Tuapati,31,Hooker,5.5,5-Jun-10,31,26,180,107
Romania,Paula Kinikinilau,5,Centre,0.2,5-Sep-15,29,29,185,105
Romania,Marius Antonescu,10,Lock,1.4,22-Jun-14,23,22,198,112
England,Ben Youngs,52,Scrum Half,5.7,13-Mar-10,26,20,178,87
England,Joe Launchbury,28,Lock,3,10-Nov-12,24,21,198,115
France,Brice Dulin,24,Full Back,3.4,16-Jun-12,25,22,176,82
Samoa,Tusi Pisi,25,Fly Half,4.4,2-Jul-11,33,29,183,93
Romania,Mihai Macovei,67,Back Row,9.5,3-Jun-06,29,20,194,108
New Zealand,Waisake Naholo,3,Wing,0.4,17-Jul-15,24,24,186,102
Australia,Will Genia,66,Scrum Half,6.4,18-Jul-09,27,21,174,82
Canada,Nick Blevins,28,Centre,6,15-Nov-09,27,21,187,98
Fiji,Timoci Nagusa,24,Wing,7.5,7-Jun-08,28,21,188,100
Tonga,Sione Kalamafoni,29,Back Row,8.8,10-Feb-07,27,18,194,117
Georgia,Vasil Lobzhanidze,10,Scrum Half,0.8,7-Feb-15,19,18,175,75
Canada,James Pritchard,62,Full Back,12.3,26-Jul-03,36,24,175,85
Fiji,Leone Nakarawa,35,Lock,6.5,13-Jun-09,27,21,198,117
South Africa,Eben Etzebeth,44,Lock,3.5,9-Jun-12,24,21,203,117
,Andrea Lovotti,,Prop,,,26,26,184,110
Uruguay,Joaquin Prada,32,Centre,2.5,7-Jun-13,24,22,181,93
Fiji,Peni Ravai,13,Prop,2,23-Nov-13,25,23,185,105
South Africa,Pat Lambie,50,Fly Half,5.1,6-Nov-10,25,20,177,89
Australia,James Slipper,74,Prop,5.5,12-Jun-10,26,21,186,117
Wales,George North,55,Wing,5,13-Nov-10,23,18,192,107
Italy,Josh Furno,35,Lock,4.3,20-Aug-11,26,22,200,108
Argentina,Guido Petti Pagadizabal,12,Lock,1,14-Nov-14,21,20,193,104
Romania,Andrei Radoi,50,Hooker,7.7,22-Mar-08,28,20,181,103
Canada,Kyle Gilmour,14,Back Row,2,23-Nov-13,27,25,185,85
Argentina,Lucas Noguera,23,Prop,1.5,17-May-14,22,21,179,107
USA,Cam Dolan,20,Back Row,2.4,19-Jun-13,25,23,198,107
Georgia,Anton Peikrishvili,16,Prop,7.8,2-Feb-08,28,20,182,118
USA,Phil Thiel,36,Hooker,6,14-Nov-09,31,25,180,111
Tonga,Uili Kolo'ofa'i,5,Lock,2,9-Nov-13,33,31,197,118
France,Alexandre Flanquart,18,Lock,2.5,8-Jun-13,26,24,204,120
Georgia,Shalva Mamukashvili,35,Hooker,4.5,10-Jun-11,25,21,180,106
South Africa,Jan Serfontein,26,Centre,2.5,8-Jun-13,22,20,187,97
Ireland,Conor Murray,42,Scrum Half,4.3,13-Aug-11,26,22,188,94
New Zealand,Nehe Milner-Skudder,8,Wing,0.3,8-Aug-15,24,24,182,90
Namibia,Jacques Burger,36,Back Row,11.3,14-Aug-04,32,21,188,102
Tonga,Sila Puafisi,23,Prop,4.4,9-Jul-11,27,23,183,94
Canada,Hubert Buydens,39,Prop,9.5,10-Jun-06,33,24,191,120
Wales,Samson Lee,17,Prop,2,16-Nov-13,22,20,192,107
Georgia,Giorgi Nemsadze,54,Lock,10,12-Nov-05,31,21,194,111
Namibia,Heinrich Smit,13,Wing,2.5,11-Jun-13,25,23,175,88
USA,Titi Lamositele,16,Prop,2.3,17-Aug-13,20,18,183,113
Japan,Fumiaki Tanaka,53,Scrum Half,7.6,3-May-08,30,22,166,71
Uruguay,German Kessler,13,Hooker,0.6,11-Apr-15,21,20,184,105
USA,Hayden Smith,29,Lock,7.1,8-Nov-08,30,23,200,116
USA,Oli Kilifi,15,Prop,2,16-Nov-13,29,27,180,118
Samoa,George Pisi,19,Centre,5.5,12-Jun-10,29,24,188,103
USA,Zach Fenoglio,17,Hooker,3,9-Nov-12,26,23,188,117
Uruguay,Andres Vilaseca,16,Centre,2.6,27-Apr-13,24,21,196,95
Australia,Drew Mitchell,70,Wing,10.4,9-Jul-05,31,21,182,92
Samoa,Alafoti Faosiliva,15,Back Row,9.4,17-Jun-06,30,21,185,112
Ireland,Chris Henry,24,Back Row,5.4,26-Jun-10,31,26,191,107
South Africa,Handre Pollard,20,Fly Half,1.4,28-Jun-14,21,20,189,98
Argentina,Santiago Gonzalez Iglesias,19,Centre,4.5,22-May-11,27,23,178,89
New Zealand,Tawera Kerr-Barlow,20,Scrum Half,3,11-Nov-12,25,22,187,89
Ireland,Dave Kearney,14,Wing,2,9-Nov-13,26,24,180,91
Wales,Jake Ball,15,Lock,1.8,8-Feb-14,24,22,200,122
Japan,Yu Tamura,35,Fly Half,3.6,28-Apr-12,26,22,181,92
England,Anthony Watson,15,Wing,1,8-Nov-14,21,20,188,90
Argentina,Matias Alemanno,20,Lock,1.5,17-May-14,23,22,198,112
Romania,Paulica Ion,74,Prop,12.1,22-Oct-03,32,20,183,118
Scotland,Greig Laidlaw,46,Scrum Half,5,13-Nov-10,30,25,176,80
Romania,Florin Vlaicu,85,Centre,9.5,3-Jun-06,29,20,186,98
Tonga,Tevita Mailau,18,Prop,3.5,5-Jun-12,30,27,180,100
Wales,Cory Allen,4,Centre,2,16-Nov-13,22,20,193,99
France,Vincent Debaty,37,Prop,9.4,17-Jun-06,34,25,190,125
Scotland,Ryan Grant,25,Prop,3.5,5-Jun-12,30,27,183,111
England,Owen Farrell,35,Fly Half,3.8,4-Feb-12,24,20,188,90
Wales,Scott Williams,34,Centre,4.5,4-Jun-11,25,21,185,100
Italy,Davide Giazzon,24,Hooker,3.5,9-Jun-12,29,26,180,106
Italy,Giovanbattista Venditti,33,Wing,3.8,4-Feb-12,25,21,187,110
Australia,Nick Phipps,39,Scrum Half,4.4,17-Jul-11,26,22,180,87
Ireland,Donnacha Ryan,34,Lock,7,22-Nov-08,31,24,201,116
Japan,Kotaro Matsushima,16,Wing,1.6,3-May-14,22,20,175,88
Ireland,Rory Best,89,Hooker,10,12-Nov-05,33,23,180,110
Argentina,Juan Martín Hernández,58,Fly Half,12.6,27-Apr-03,33,20,187,94
Fiji,Vereniki Goneva,39,Centre,8.5,19-May-07,31,23,189,99
England,Mako Vunipola,27,Prop,3,10-Nov-12,24,21,182,118
Namibia,Johan Coetzee,8,Prop,0.5,6-Jun-15,27,27,186,120
Uruguay,Oscar Duran,35,Prop,14,24-Nov-01,35,21,174,115
Scotland,Tim Swinson,17,Lock,2.4,15-Jun-13,28,26,193,116
Georgia,Shalva Sutiashvili,52,Back Row,10,12-Nov-05,31,21,193,102
France,Louis Picamoles,51,Back Row,7.8,9-Feb-08,29,21,192,118
Canada,Patrick Parfrey,7,Fly Half,2.5,25-May-13,24,22,185,95
Italy,Lorenzo Cittadini,44,Prop,7.8,2-Feb-08,32,24,190,120
Australia,Toby Smith,3,Prop,0.2,5-Sep-15,27,27,190,116
Japan,Michael Leitch,47,Back Row,7,16-Nov-08,27,20,190,105
Georgia,Lasha Khmaladze,39,Fly Half,7.5,11-Jun-08,27,20,180,82
Samoa,Paul Perez,15,Centre,3.5,5-Jun-12,29,26,189,101
France,Bernard Le Roux,23,Back Row,2.4,15-Jun-13,26,24,196,113
Australia,James Hanson,10,Hooker,3.1,20-Oct-12,27,24,183,104
New Zealand,Jerome Kaino,67,Back Row,9.5,10-Jun-06,32,23,196,110
New Zealand,Julian Savea,41,Wing,3.5,9-Jun-12,25,22,192,106
Tonga,Elvis Taione,21,Hooker,3,10-Nov-12,32,29,178,112
Japan,Kosei Ono,32,Fly Half,8.6,22-Apr-07,28,19,171,83
Tonga,David Halaifonua,15,Wing,6.5,13-Jun-09,28,22,189,85
Fiji,Henry Seniloli,10,Scrum Half,2,23-Nov-13,26,24,174,70
Scotland,Finn Russell,15,Fly Half,1.5,7-Jun-14,23,22,182,87
Tonga,Fetu'u Vainikolo,25,Wing,4.3,13-Aug-11,30,26,180,95
Argentina,Horacio Agulla,63,Wing,10,3-Dec-05,31,21,181,90
Ireland,Jonathan Sexton,56,Fly Half,6,21-Nov-09,30,24,188,92
Australia,Quade Cooper,58,Fly Half,7.1,8-Nov-08,27,20,186,92
Tonga,Siale Piutau,24,Centre,4.3,13-Aug-11,30,26,185,99
Uruguay,Mario Sagario,51,Prop,9.4,22-Jul-06,29,20,187,116
Australia,Israel Folau,38,Full Back,2.4,22-Jun-13,26,24,193,103
Ireland,Nathan White,8,Prop,0.3,15-Aug-15,34,34,188,122
Romania,Horatiu Pungea,28,Prop,3,10-Nov-12,29,26,188,130
Scotland,Ross Ford,94,Hooker,11.1,6-Nov-04,31,20,186,115
Wales,Tom Francis,7,Prop,0.2,29-Aug-15,23,23,189,130
Italy,Edoardo Gori,47,Scrum Half,5,20-Nov-10,25,20,180,86
Samoa,Teofilo Paulo,22,Lock,3,9-Nov-12,28,25,198,122
Argentina,Juan Imhoff,33,Wing,5.5,23-May-10,27,22,185,90
Ireland,Robbie Henshaw,15,Centre,2.5,8-Jun-13,22,20,191,100
Romania,Andrei Ursache,26,Prop,3.8,4-Feb-12,31,27,180,117
Wales,Gethin Jenkins,119,Prop,13.1,1-Nov-02,35,22,188,117
Australia,Scott Fardy,30,Back Row,2.3,17-Aug-13,31,29,198,114
Australia,Joseph Tomane,17,Wing,3.5,5-Jun-12,25,22,188,101
France,Gael Fickou,15,Centre,2.7,16-Mar-13,21,18,190,99
Samoa,Patrick Faapale,7,Fly Half,1.5,30-May-14,24,23,179,90
Wales,Alex Cuthbert,40,Wing,4,3-Dec-11,25,21,198,103
Namibia,Casper Viviers,15,Prop,5,27-Nov-10,27,22,185,112
Argentina,Juan Manuel Leguizamon,65,Back Row,10.6,23-Apr-05,32,21,190,104
Ireland,Mike McCarthy,17,Lock,4.3,6-Aug-11,33,29,193,115
Argentina,Joaquin Tuculet,28,Full Back,3.5,9-Jun-12,26,23,184,86
Georgia,Giorgi Chkhaidze,86,Lock,13.8,3-Feb-02,34,20,195,112
Tonga,Samisoni Fisilau,18,Scrum Half,5.5,12-Jun-10,27,22,182,95
Fiji,Manasa Saulo,27,Prop,3,10-Nov-12,26,23,189,111
Italy,Leonardo Sarto,23,Wing,2.4,22-Jun-13,23,21,192,93
Georgia,Mamuka Gorgodze,65,Back Row,12.8,22-Feb-03,31,18,196,118
USA,Niku Kruger,2,Scrum Half,0.3,22-Aug-15,24,24,175,84
Canada,Jeff Hassler,17,Wing,3.5,9-Jun-12,24,21,178,96
Argentina,Pablo Matera,22,Back Row,2.6,1-May-13,22,19,193,99
Italy,Alessandro Zanni,94,Back Row,10,12-Nov-05,31,21,188,107
Fiji,Dominiko Waqaniburotu,27,Back Row,5.5,5-Jun-10,29,24,189,111
Wales,James King,7,Back Row,2.5,8-Jun-13,25,23,193,108
Italy,Michele Visentin,1,Wing,0.7,28-Feb-15,23,22,184,92
South Africa,Jesse Kriel,11,Centre,0.4,18-Jul-15,21,21,186,96
Romania,Florin Ionita,18,Wing,2.5,12-Jun-13,25,23,195,96
,Rory Sutherland,,Prop,,,23,23,180,110
Samoa,Sakaria Taulafo,40,Prop,6,13-Nov-09,32,26,183,118
